configuration,failure_type,count,rate
A,CONFLICT_VIOLATION,1,0.047619
A,CONTINUE_AFTER_BLOCK,1,0.047619
A,EXTRA_BLOCKER,2,0.095238
A,FORBIDDEN_SKILL_VIOLATION,1,0.047619
A,MISSING_DEPARTMENT,3,0.142857
A,MISSING_REQUIRED_SKILL,5,0.238095
A,ORDER_VIOLATION,5,0.238095
A,REPEATED_COMPLETED_SKILL,4,0.190476
A,UNEXPECTED_ROUTE_CHOICE,9,0.428571
A,UNNECESSARY_SKILL,4,0.190476
A,WRONG_BLOCK_REASON,1,0.047619
A,WRONG_FINAL_STATUS,1,0.047619
A,WRONG_ROUTE_CHOICE,10,0.47619
B,CONFLICT_VIOLATION,2,0.095238
B,CONTINUE_AFTER_BLOCK,2,0.095238
B,EXTRA_BLOCKER,2,0.095238
B,FORBIDDEN_SKILL_VIOLATION,2,0.095238
B,MISSING_DEPARTMENT,2,0.095238
B,MISSING_REQUIRED_SKILL,4,0.190476
B,ORDER_VIOLATION,4,0.190476
B,REPEATED_COMPLETED_SKILL,4,0.190476
B,UNEXPECTED_ROUTE_CHOICE,7,0.333333
B,UNNECESSARY_SKILL,4,0.190476
B,WRONG_FINAL_STATUS,2,0.095238
B,WRONG_ROUTE_CHOICE,7,0.333333
C,CONFLICT_VIOLATION,2,0.095238
C,CONTINUE_AFTER_BLOCK,2,0.095238
C,EXTRA_BLOCKER,4,0.190476
C,FORBIDDEN_SKILL_VIOLATION,2,0.095238
C,MISSING_REQUIRED_SKILL,1,0.047619
C,ORDER_VIOLATION,1,0.047619
C,REPEATED_COMPLETED_SKILL,4,0.190476
C,UNEXPECTED_ROUTE_CHOICE,6,0.285714
C,UNNECESSARY_SKILL,4,0.190476
C,WRONG_FINAL_STATUS,4,0.190476
C,WRONG_ROUTE_CHOICE,6,0.285714
