configuration,category,n,functional_success,clean_success,skill_precision,skill_recall,skill_f1,department_f1,required_order_accuracy,final_status_correct,route_choice_correct,gold_constraint_violation_rate
A,cross_department_goal,9,0.333333,0.333333,0.992063,0.906349,0.943279,0.933333,0.79243,0.888889,0.333333,0.666667
A,no_tool,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
A,single_department_goal,5,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4
A,single_skill,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
A,special_constraint,3,0.333333,0.0,0.285714,1.0,0.307692,1.0,1.0,1.0,0.333333,1.0
B,cross_department_goal,9,0.333333,0.333333,0.992063,0.924868,0.95338,0.955556,0.828327,0.777778,0.444444,0.666667
B,no_tool,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B,single_department_goal,5,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2
B,single_skill,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B,special_constraint,3,0.0,0.0,0.285714,1.0,0.307692,1.0,1.0,1.0,0.666667,1.0
C,cross_department_goal,9,0.333333,0.333333,0.986111,0.981481,0.982492,1.0,0.977778,0.555556,0.444444,0.666667
C,no_tool,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C,single_department_goal,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C,single_skill,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C,special_constraint,3,0.0,0.0,0.285714,1.0,0.307692,1.0,1.0,1.0,0.666667,1.0
